district,state,lat,lon,population,urbanity,fp_unmet_pct,institutional_birth_pct,csection_pct,anaemia_pct
Junagadh City,Gujarat,21.52137,70.45821,null,null,null,null,null,null
Ariyalur,Tamil Nadu,11.14002,79.07421,null,null,7.0,100.0,57.3,62.4
Kalyani,West Bengal,22.97096,88.48514,null,null,null,null,null,null
Thiruvottiyur,Tamil Nadu,11.33966,77.71683,null,null,null,null,null,null
Guntakal,Andhra Pradesh,15.1618,77.38137,null,null,null,null,null,null
Mubarakpur Mu. Nasirpu,Uttar Pradesh,26.37195,79.94018,null,null,null,null,null,null
Manasa,Madhya Pradesh,26.23512,78.15376,null,null,null,null,null,null
Kodungallur,Kerala,10.2316,76.19983,null,null,null,null,null,null
Deshmukhi,Yadadri Bhuvanagiri District,17.30164,78.72639,null,null,null,null,null,null
Rudrapur,Bigbara,28.96048,79.41724,null,null,null,null,null,null
New Delhi,South East Delhi Area,28.62992,77.23199,null,null,null,null,null,null
Herbertpur,Uttarakhand,30.44827,77.75517,null,null,null,null,null,null
Narayanguda,Telangana,17.39829,78.49124,null,null,null,null,null,null
Kanpur,Kanpur,26.48246,80.31619,null,null,null,null,null,null
Manimajra,Chandigarh,30.71538,76.83237,null,null,null,null,null,null
Cumbum,Andhra Pradesh,17.68944,83.13584,null,null,null,null,null,null
Modinagar,Ghaziabad,28.98207,77.69994,null,null,null,null,null,null
Mundra,Gujarat,22.84195,69.73184,null,null,null,null,null,null
Kannadi,Kerala,10.73596,76.64746,null,null,null,null,null,null
Nayagarh,Odisha,20.46819,84.39697,null,null,4.6,98.3,28.1,62.5
Puliyangudi,Tamil Nadu,9.18478,77.40309,null,null,null,null,null,null
Yelahanka New Town,Karnataka,13.10342,77.5844,null,null,null,null,null,null
Khandwa,Madhya Pradesh,21.82331,76.3499,null,null,null,null,null,null
Mavelikara,Kerala,9.26667,76.55,null,null,null,null,null,null
Barasat,West Bengal,22.77987,88.41439,null,null,null,null,null,null
Junnar,Maharashtra,19.1484,72.82811,null,null,null,null,null,null
Tamber,Himachal Pradesh,32.14284,76.41345,null,null,null,null,null,null
Tiruvallur,Tamil Nadu,11.36122,77.70123,null,null,null,null,null,null
Haldia,West Bengal,22.08049,88.14017,null,null,null,null,null,null
Mirzapur,Uttar Pradesh,25.02037,83.03292,null,null,14.5,91.1,17.6,42.1
Chittoor,Andhra Pradesh,13.10053,79.12492,null,null,6.0,97.1,26.4,51.8
